Date,Open,High,Low,Close,Adj Close,Volume
2026-06-01,84.2,85.35,83.7,84.95,84.95,18234500
2026-06-02,85.1,86.2,84.6,85.75,85.75,16589200
2026-06-03,85.6,86.05,84.9,85.15,85.15,14877600
2026-06-04,85.05,86.7,84.95,86.3,86.3,19344100
2026-06-05,86.45,87.1,85.8,86.75,86.75,17122500
2026-06-08,86.6,87.4,86.05,87.05,87.05,15690800
2026-06-09,87.2,87.8,86.35,86.7,86.7,16233400
2026-06-10,86.55,88.05,86.2,87.9,87.9,20765100
2026-06-11,87.85,88.5,87.1,87.45,87.45,17890200
2026-06-12,87.3,88.15,86.75,87.95,87.95,16944700
2026-06-15,88.1,89.25,87.85,88.9,88.9,21488300
2026-06-16,88.75,89.1,87.9,88.25,88.25,18455600
2026-06-17,88.3,89.6,88.0,89.2,89.2,22173400
2026-06-18,89.15,89.75,88.4,88.85,88.85,17622500
2026-06-19,88.7,90.05,88.55,89.8,89.8,23999100
